date,exists,filename,version,revision,n_lpw_l2_files,status
2014-12-13,yes,mvn_lpw_l2_mrgscpot_20141213_v02_r04.cdf,2,4,8,ok
2014-12-14,yes,mvn_lpw_l2_mrgscpot_20141214_v02_r03.cdf,2,3,8,ok
2014-12-15,yes,mvn_lpw_l2_mrgscpot_20141215_v02_r03.cdf,2,3,8,ok
2014-12-16,yes,mvn_lpw_l2_mrgscpot_20141216_v02_r03.cdf,2,3,9,ok
2014-12-17,yes,mvn_lpw_l2_mrgscpot_20141217_v02_r04.cdf,2,4,9,ok
2014-12-18,yes,mvn_lpw_l2_mrgscpot_20141218_v02_r03.cdf,2,3,9,ok
2014-12-19,yes,mvn_lpw_l2_mrgscpot_20141219_v02_r03.cdf,2,3,9,ok
2014-12-20,yes,mvn_lpw_l2_mrgscpot_20141220_v02_r03.cdf,2,3,9,ok
2014-12-21,yes,mvn_lpw_l2_mrgscpot_20141221_v02_r02.cdf,2,2,10,ok
2014-12-22,yes,mvn_lpw_l2_mrgscpot_20141222_v02_r02.cdf,2,2,10,ok
2014-12-23,yes,mvn_lpw_l2_mrgscpot_20141223_v02_r02.cdf,2,2,10,ok
2014-12-24,yes,mvn_lpw_l2_mrgscpot_20141224_v02_r03.cdf,2,3,10,ok
2014-12-25,yes,mvn_lpw_l2_mrgscpot_20141225_v02_r02.cdf,2,2,10,ok
2014-12-26,yes,mvn_lpw_l2_mrgscpot_20141226_v02_r03.cdf,2,3,10,ok
2014-12-27,yes,mvn_lpw_l2_mrgscpot_20141227_v02_r03.cdf,2,3,10,ok
2014-12-28,yes,mvn_lpw_l2_mrgscpot_20141228_v02_r02.cdf,2,2,10,ok
2014-12-29,yes,mvn_lpw_l2_mrgscpot_20141229_v02_r02.cdf,2,2,10,ok
2014-12-30,yes,mvn_lpw_l2_mrgscpot_20141230_v02_r02.cdf,2,2,10,ok
2014-12-31,yes,mvn_lpw_l2_mrgscpot_20141231_v02_r02.cdf,2,2,10,ok
2015-01-01,yes,mvn_lpw_l2_mrgscpot_20150101_v02_r02.cdf,2,2,10,ok
2015-01-02,yes,mvn_lpw_l2_mrgscpot_20150102_v02_r02.cdf,2,2,10,ok
2015-01-03,yes,mvn_lpw_l2_mrgscpot_20150103_v02_r02.cdf,2,2,10,ok
2015-01-04,yes,mvn_lpw_l2_mrgscpot_20150104_v02_r02.cdf,2,2,10,ok
2015-01-05,yes,mvn_lpw_l2_mrgscpot_20150105_v02_r02.cdf,2,2,10,ok
2015-01-06,yes,mvn_lpw_l2_mrgscpot_20150106_v02_r02.cdf,2,2,10,ok
2015-01-07,yes,mvn_lpw_l2_mrgscpot_20150107_v02_r02.cdf,2,2,10,ok
2015-01-08,yes,mvn_lpw_l2_mrgscpot_20150108_v02_r02.cdf,2,2,10,ok
2015-01-09,yes,mvn_lpw_l2_mrgscpot_20150109_v02_r02.cdf,2,2,10,ok
2015-01-10,yes,mvn_lpw_l2_mrgscpot_20150110_v02_r02.cdf,2,2,10,ok
2015-01-11,yes,mvn_lpw_l2_mrgscpot_20150111_v02_r02.cdf,2,2,10,ok
2015-01-12,yes,mvn_lpw_l2_mrgscpot_20150112_v02_r02.cdf,2,2,10,ok
2015-01-13,yes,mvn_lpw_l2_mrgscpot_20150113_v02_r02.cdf,2,2,10,ok
2015-01-14,yes,mvn_lpw_l2_mrgscpot_20150114_v02_r02.cdf,2,2,10,ok
2015-01-15,yes,mvn_lpw_l2_mrgscpot_20150115_v02_r02.cdf,2,2,10,ok
2015-01-16,yes,mvn_lpw_l2_mrgscpot_20150116_v02_r01.cdf,2,1,10,ok
2015-01-17,yes,mvn_lpw_l2_mrgscpot_20150117_v02_r02.cdf,2,2,10,ok
2015-01-18,yes,mvn_lpw_l2_mrgscpot_20150118_v02_r02.cdf,2,2,7,ok
2015-01-19,yes,mvn_lpw_l2_mrgscpot_20150119_v02_r02.cdf,2,2,7,ok
2015-01-20,yes,mvn_lpw_l2_mrgscpot_20150120_v02_r02.cdf,2,2,7,ok
2015-01-21,yes,mvn_lpw_l2_mrgscpot_20150121_v02_r02.cdf,2,2,7,ok
2015-01-22,yes,mvn_lpw_l2_mrgscpot_20150122_v02_r02.cdf,2,2,7,ok
2015-01-23,yes,mvn_lpw_l2_mrgscpot_20150123_v02_r02.cdf,2,2,7,ok
2015-01-24,yes,mvn_lpw_l2_mrgscpot_20150124_v02_r02.cdf,2,2,10,ok
2015-01-25,yes,mvn_lpw_l2_mrgscpot_20150125_v02_r02.cdf,2,2,10,ok
2015-01-26,yes,mvn_lpw_l2_mrgscpot_20150126_v02_r02.cdf,2,2,10,ok
2015-01-27,yes,mvn_lpw_l2_mrgscpot_20150127_v02_r02.cdf,2,2,10,ok
2015-01-28,yes,mvn_lpw_l2_mrgscpot_20150128_v02_r02.cdf,2,2,10,ok
2015-01-29,yes,mvn_lpw_l2_mrgscpot_20150129_v02_r02.cdf,2,2,10,ok
2015-01-30,yes,mvn_lpw_l2_mrgscpot_20150130_v02_r02.cdf,2,2,10,ok
2015-01-31,yes,mvn_lpw_l2_mrgscpot_20150131_v02_r02.cdf,2,2,7,ok
2015-02-01,yes,mvn_lpw_l2_mrgscpot_20150201_v02_r02.cdf,2,2,10,ok
2015-02-02,yes,mvn_lpw_l2_mrgscpot_20150202_v02_r02.cdf,2,2,7,ok
2015-02-03,yes,mvn_lpw_l2_mrgscpot_20150203_v02_r02.cdf,2,2,7,ok
2015-02-04,yes,mvn_lpw_l2_mrgscpot_20150204_v02_r02.cdf,2,2,7,ok
2015-02-05,yes,mvn_lpw_l2_mrgscpot_20150205_v02_r02.cdf,2,2,10,ok
2015-02-06,yes,mvn_lpw_l2_mrgscpot_20150206_v02_r02.cdf,2,2,10,ok
2015-02-07,yes,mvn_lpw_l2_mrgscpot_20150207_v02_r02.cdf,2,2,10,ok
2015-02-08,yes,mvn_lpw_l2_mrgscpot_20150208_v02_r02.cdf,2,2,10,ok
2015-02-09,yes,mvn_lpw_l2_mrgscpot_20150209_v02_r02.cdf,2,2,10,ok
2015-02-10,yes,mvn_lpw_l2_mrgscpot_20150210_v02_r02.cdf,2,2,10,ok
2015-02-11,yes,mvn_lpw_l2_mrgscpot_20150211_v02_r02.cdf,2,2,10,ok
2015-02-12,yes,mvn_lpw_l2_mrgscpot_20150212_v02_r02.cdf,2,2,10,ok
2015-02-13,yes,mvn_lpw_l2_mrgscpot_20150213_v02_r02.cdf,2,2,10,ok
2015-02-14,yes,mvn_lpw_l2_mrgscpot_20150214_v02_r02.cdf,2,2,10,ok
2015-02-15,yes,mvn_lpw_l2_mrgscpot_20150215_v02_r02.cdf,2,2,10,ok
2015-02-16,yes,mvn_lpw_l2_mrgscpot_20150216_v02_r02.cdf,2,2,10,ok
