index,utc_time,time_unix,spacecraft_potential_V,lower_unc_V,upper_unc_V,flag,info
0,2015-04-17T00:00:20.747069Z,1429228820.747069,3.975506479036994e-05,0.20000000298023224,0.20000000298023224,55.02560043334961,10.020480155944824
1,2015-04-17T00:01:24.746553Z,1429228884.7465527,nan,nan,nan,2.025599956512451,20.020479202270508
2,2015-04-17T00:02:28.746052Z,1429228948.7460518,6.214551831362769e-05,0.20000000298023224,0.20000000298023224,55.02560043334961,10.020480155944824
3,2015-04-17T00:03:32.745536Z,1429229012.7455359,nan,nan,nan,2.025599956512451,20.020479202270508
4,2015-04-17T00:04:36.745020Z,1429229076.7450197,1.4130221643426921e-05,0.20000000298023224,0.20000000298023224,55.02560043334961,10.020480155944824
5,2015-04-17T00:05:40.744519Z,1429229140.7445188,nan,nan,nan,2.025599956512451,20.020479202270508
6,2015-04-17T00:06:44.744003Z,1429229204.7440026,0.00022414208797272295,0.20000000298023224,0.20000000298023224,55.02560043334961,10.020480155944824
7,2015-04-17T00:07:48.743502Z,1429229268.7435017,nan,nan,nan,2.025599956512451,20.020479202270508
8,2015-04-17T00:08:52.742986Z,1429229332.7429857,1.3679059520654846e-06,0.20000000298023224,0.20000000298023224,55.02560043334961,10.020480155944824
9,2015-04-17T00:09:56.742470Z,1429229396.7424695,nan,nan,nan,2.025599956512451,20.020479202270508
10,2015-04-17T00:11:00.741969Z,1429229460.7419686,4.890956006420311e-06,0.20000000298023224,0.20000000298023224,55.02560043334961,10.020480155944824
11,2015-04-17T00:12:04.741452Z,1429229524.7414525,nan,nan,nan,2.024319887161255,20.020479202270508
12,2015-04-17T00:13:08.740936Z,1429229588.7409363,6.16459738012054e-06,0.20000000298023224,0.20000000298023224,55.02431869506836,10.020480155944824
13,2015-04-17T00:14:12.740436Z,1429229652.7404356,nan,nan,nan,2.024319887161255,20.020479202270508
14,2015-04-17T00:15:16.739919Z,1429229716.7399194,1.7579413652420044,0.20000004768371582,0.20000004768371582,55.02431869506836,10.020480155944824
