Instrument,DataType,Variable,DType,Shape,Units,Format,Alias,FileKind,SourceFile
swi,onboardsvymom,time_unix,float64,[21600],,,,cdf,mvn_swi_l2_onboardsvymom_20241107_v02_r01.cdf
swi,onboardsvymom,tindex,uint8,[3],,,,cdf,mvn_swi_l2_onboardsvymom_20241107_v02_r01.cdf
swi,onboardsvymom,v_label,<U2,[3],,,,cdf,mvn_swi_l2_onboardsvymom_20241107_v02_r01.cdf
swi,onboardsvymom,velocity,float32,"[21600, 3]",,,,cdf,mvn_swi_l2_onboardsvymom_20241107_v02_r01.cdf
swi,onboardsvymom,velocity_mso,float32,"[21600, 3]",,,,cdf,mvn_swi_l2_onboardsvymom_20241107_v02_r01.cdf
swi,onboardsvymom,vindex,uint8,[3],,,,cdf,mvn_swi_l2_onboardsvymom_20241107_v02_r01.cdf
swi,onboardsvyspec,accum_time_spectra,float32,[],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,atten_state,uint8,[21600],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,de_over_e_spectra,float32,[],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,decom_flag,float32,[21600],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,energy_spectra,float32,[48],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,epoch,int64,[21600],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,geom_factor,float32,[],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,num_accum,int16,[21600],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,num_spec,int16,[],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,spectra_counts,float32,"[21600, 48]",,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,spectra_diff_en_fluxes,float32,"[21600, 48]",,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,time_met,float64,[21600],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
swi,onboardsvyspec,time_unix,float64,[21600],,,,cdf,mvn_swi_l2_onboardsvyspec_20241107_v02_r01.cdf
